Language,0,1.0000,2.0000,3.0000,4.0000,5.0000,6.0000,7.0000,8.0000,9.0000,10.0000,11.0000,12.0000,13.0000,14.0000,15.0000,16.0000,17.0000,18.0000,19.0000,20.0000,21.0000,22.0000,23.0000,24.0000,25.0000,26.0000,27.0000,28.0000,29.0000,30.0000,31.0000,32.0000,33.0000,34.0000,35.0000,36.0000,37.0000,38.0000,39.0000,40.0000,41.0000,42.0000,43.0000,44.0000,45.0000,46.0000,47.0000,48.0000,49.0000,50
English,1515000000,1520477019.0000,1526138108.0000,1531893986.0000,1537746542.0000,1543697707.0000,1549749455.0000,1555903803.0000,1562162813.0000,1568528592.0000,1575003293.0000,1581589118.0000,1588288318.0000,1595103192.0000,1602036093.0000,1609089425.0000,1616265644.0000,1623567264.0000,1630996853.0000,1638557038.0000,1646250503.0000,1654079994.0000,1662048318.0000,1670158346.0000,1678413013.0000,1686815321.0000,1695368338.0000,1704075203.0000,1712939127.0000,1721963392.0000,1731151355.0000,1740506451.0000,1750032191.0000,1759732168.0000,1769610055.0000,1779669611.0000,1789914681.0000,1800349197.0000,1810977182.0000,1821802751.0000,1832830114.0000,1844063578.0000,1855507550.0000,1867166539.0000,1879045156.0000,1891148121.0000,1903480264.0000,1916046525.0000,1928851961.0000,1941901745.0000,1955201171
Chinese,1140000000,1143370609.0000,1146759627.0000,1150157903.0000,1153565473.0000,1156982372.0000,1160408637.0000,1163844304.0000,1167289409.0000,1170743990.0000,1174208084.0000,1177681729.0000,1181164961.0000,1184657821.0000,1188160345.0000,1191672572.0000,1195194542.0000,1198726295.0000,1202267868.0000,1205819303.0000,1209380640.0000,1212951919.0000,1216533182.0000,1220124468.0000,1223725821.0000,1227337282.0000,1230958892.0000,1234590696.0000,1238232735.0000,1241885052.0000,1245547693.0000,1249220700.0000,1252904117.0000,1256597991.0000,1260302365.0000,1264017285.0000,1267742797.0000,1271478947.0000,1275225783.0000,1278983350.0000,1282751697.0000,1286530871.0000,1290320921.0000,1294121895.0000,1297933843.0000,1301756813.0000,1305590857.0000,1309436024.0000,1313292365.0000,1317159931.0000,1321038775
Hindi,609000000,613006606.1000,617071084.4000,621164811.8000,625287998.6000,629440857.0000,633623600.6000,637836444.4000,642079605.2000,646353301.1000,650657752.0000,654993179.3000,659359805.9000,663757856.5000,668187557.2000,672649135.8000,677142821.9000,681668846.5000,686227442.5000,690818844.3000,695443288.0000,700101011.5000,704792254.4000,709517257.9000,714276265.2000,719069520.8000,723897271.5000,728759765.4000,733657252.7000,738589985.4000,743558217.0000,748562203.2000,753602201.3000,758678470.5000,763791272.0000,768940868.8000,774127525.6000,779351509.3000,784613088.6000,789912534.1000,795250118.4000,800626116.1000,806040803.6000,811494459.4000,816987364.2000,822519800.4000,828092052.5000,833704407.3000,839357153.4000,845050581.5000,850784984.5
Spanish,560000000,563214109.6000,566491579.3000,569801338.0000,573143801.1000,576519391.0000,579928537.2000,583371677.0000,586849254.9000,590361723.4000,593909542.7000,597493181.2000,601113115.3000,604769830.0000,608463818.8000,612195584.0000,615965636.7000,619774497.3000,623622695.3000,627510770.0000,631439270.1000,635408754.5000,639419792.0000,643472962.0000,647568854.3000,651708069.6000,655891219.6000,660118927.1000,664391826.9000,668710565.0000,673075799.8000,677488202.0000,681948454.6000,686457253.7000,691015308.3000,695623341.0000,700282087.9000,704992299.4000,709754739.8000,714570188.5000,719439439.5000,724363302.1000,729342601.5000,734378178.7000,739470891.0000,744621612.5000,749831234.2000,755100664.9000,760430830.9000,765822676.9000,771277166.5
Arabic,332000000,337682810.6000,343556363.4000,349527873.4000,355599108.9000,361771872.5000,368048001.5000,374429369.1000,380917884.4000,387515494.0000,394224182.1000,401045971.4000,407982924.3000,415037143.3000,422210771.8000,429505995.5000,436925042.4000,444470184.7000,452143738.9000,459948066.9000,467885577.4000,475958726.4000,484170018.3000,492522006.9000,501017296.8000,509658543.7000,518448456.4000,527389797.1000,536485383.0000,545738087.5000,555150841.1000,564726632.6000,574468510.8000,584379585.1000,594463027.3000,604722072.9000,615160022.0000,625780241.4000,636586165.2000,647581297.0000,658769210.8000,670153552.9000,681738043.2000,693526476.9000,705522726.2000,717730741.8000,730154554.5000,742798277.4000,755666106.9000,768762325.3000,782091302.2
French,312000000,312359103.1000,312730357.0000,313107900.1000,313491879.7000,313882447.3000,314279758.3000,314683972.2000,315095252.8000,315513768.1000,315939691.0000,316373198.6000,316814472.8000,317263700.7000,317721074.0000,318186789.8000,318661050.6000,319144064.1000,319636043.7000,320137208.7000,320647784.3000,321168001.7000,321698098.4000,322238318.4000,322788912.5000,323350138.2000,323922259.8000,324505549.4000,325100285.9000,325706756.4000,326325255.5000,326956086.2000,327599559.6000,328255995.5000,328925722.5000,329609078.4000,330306410.1000,331018074.4000,331744437.7000,332485876.9000,333242779.0000,334015542.3000,334804575.6000,335610299.6000,336433146.5000,337273560.7000,338131999.0000,339008931.1000,339904839.7000,340820221.3000,341755586.1
Bengali,278000000,280761263.2000,283569389.1000,286401247.8000,289257042.8000,292136979.0000,295041263.5000,297970105.0000,300923713.9000,303902302.7000,306906085.5000,309935278.5000,312990099.7000,316070768.8000,319177507.8000,322310540.4000,325470092.3000,328656391.1000,331869666.5000,335110150.2000,338378075.9000,341673679.3000,344997198.3000,348348872.7000,351728944.5000,355137657.8000,358575258.9000,362041996.2000,365538120.3000,369063883.9000,372619542.1000,376205352.1000,379821573.4000,383468467.7000,387146299.1000,390855334.1000,394595841.3000,398368091.8000,402172359.2000,406008919.2000,409878050.1000,413780032.8000,417715150.5000,421683688.8000,425685935.9000,429722182.7000,433792722.5000,437897851.1000,442037867.2000,446213071.7000,450423768.6
Portuguese,264000000,265807528.9000,267666694.7000,269552624.6000,271465974.6000,273407420.8000,275377660.0000,277377410.2000,279407411.7000,281468427.1000,283561243.0000,285686669.7000,287845543.0000,290038724.2000,292267101.2000,294531589.8000,296833133.8000,299172706.5000,301551311.4000,303969983.5000,306429789.8000,308931830.6000,311477240.9000,314067190.8000,316702887.3000,319385575.3000,322116538.7000,324897101.7000,327728630.2000,330612533.2000,333550263.9000,336543321.7000,339593252.9000,342701653.2000,345870168.3000,349100496.3000,352394389.1000,355753654.2000,359180156.2000,362675819.4000,366242628.9000,369882633.3000,373597946.1000,377390748.4000,381263290.8000,385217895.8000,389256960.1000,393382956.7000,397598438.1000,401906038.3000,406308475.6
Russian,255000000,254279001.7000,253560106.2000,252842137.8000,252125011.2000,251408639.8000,250692934.6000,249977805.3000,249263159.3000,248548902.3000,247834937.9000,247121167.8000,246407491.4000,245693806.1000,244980007.0000,244265986.9000,243551636.5000,242836843.7000,242121494.5000,241405471.8000,240688656.4000,239970926.2000,239252156.5000,238532219.6000,237810985.3000,237088320.3000,236364088.1000,235638149.4000,234910361.7000,234180579.2000,233448652.7000,232714429.8000,231977754.3000,231238466.8000,230496403.9000,229751398.6000,229003280.0000,228251873.2000,227496999.3000,226738475.3000,225976113.7000,225209722.9000,224439106.6000,223664064.0000,222884389.6000,222099873.0000,221310298.8000,220515446.7000,219715091.1000,218909001.0000,218096940
